product_id,name,category,price
1,Portable Grill Cover,Clothing,57
2,Cotton Basic Tank,Clothing,15
3,Vanilla Bean Greek Yogurt,Home,85
4,Bamboo Toothbrush Holder,Sports,29
5,Vegetable Korma,Electronics,81
6,Sketchbook,Home,97
7,Printed Maxi Skirt,Home,28
8,Organic Coconut Flakes,Home,86
9,Cinnamon Sugar Popcorn,Sports,90
10,Honey Wheat Pretzels,Home,30
11,Whole Wheat Pasta,Home,88
12,Wrap Front Midi Skirt,Clothing,42
13,Couscous,Electronics,91
14,Vegan Caesar Dressing,Sports,45
15,Garlic Herb Seasoning,Clothing,87
16,Chilli Lime Corn on the Cob,Clothing,31
17,Spicy Tuna Rolls,Home,95
18,Frozen Acai Purée,Electronics,14
19,Dried Mango Slices,Home,43
20,Inspirational Wall Art,Home,47
21,Oven Mitts with Pocket,Home,42
22,USB Wall Charger,Home,63
23,Cat Tree with Scratching Posts,Clothing,44
24,Smartphone Gimbal,Sports,38
25,Barbecue Chicken Pizza,Sports,37
26,Coconut Cream Pie Yogurt,Electronics,95
27,Kitchen Scale,Electronics,54
28,Striped Long Sleeve Shirt,Sports,92
29,Sourdough Bread,Electronics,17
30,Quality Chef Apron,Clothing,20
31,Baked Potato Chips,Electronics,94
32,Personal Safety Alarm,Home,39
33,Cream Cheese,Electronics,24
34,Spicy Tuna Rolls,Home,95
35,Toilet Paper (12 rolls),Home,76
36,Spinach and Feta Wraps,Sports,97
37,Roasted Sweet Corn,Sports,91
38,Pineapple Chunks (canned),Home,33
39,Caramelized Onion Dip,Home,51
40,Green Tea Matcha Powder,Electronics,57
41,Lentil Vegetable Curry,Clothing,61
42,Cranberry Citrus Sauce,Sports,45
43,Kids' Outdoor Explorer Kit,Home,13
44,Electric Skillet,Electronics,39
45,Personalized Pet ID Tags,Sports,82
46,Peach Halves (canned),Sports,42
47,Portable Pet Water Bottle,Clothing,86
48,Peanut Butter Cookies,Electronics,55
49,Steak Seasoning Rub,Electronics,70
50,Magnetic Chess Set,Sports,86
51,Spicy Salsa Verde,Clothing,26
52,Peanut Butter Banana Smoothie Mix,Sports,71
53,Car Trash Can,Sports,52
54,Roasted Garlic Butter,Clothing,36
55,Sturdy Bookends,Home,63
56,Beef Jerky,Sports,95
57,Tuna Fish (canned),Electronics,63
58,Deluxe First Aid Kit,Home,37
59,Spinach Artichoke Dip,Sports,15
60,Dark Chocolate Almond Butter Cups,Clothing,62
61,Fall-Themed Table Runner,Electronics,67
62,Smart Wi-Fi Camera,Clothing,36
63,Cold Brew Coffee Maker,Electronics,19
64,Lentil Pasta,Sports,85
65,Herbal Tea Sampler Box,Clothing,96
66,Cream Cheese,Electronics,30
67,Sweet Corn,Sports,68
68,High-Waisted Skirt,Clothing,68
69,Popcorn Chicken,Sports,33
70,Pumpkin Waffles,Home,14
71,Organic Black Beans,Electronics,68
72,Caramelized Onion Dip,Home,63
73,Almond Milk,Sports,85
74,Mediterranean Chickpea Bowl,Sports,72
75,Honey Roasted Chickpeas,Clothing,14
76,Balsamic Glazed Brussels Sprouts,Home,58
77,Raisin Cinnamon Granola,Electronics,20
78,Field Journal,Electronics,31
79,Coconut Yogurt,Home,42
80,Matcha Green Tea Powder,Clothing,11
81,Active Racerback Tank,Electronics,85
82,Pumpkin Spice Pancake Mix,Electronics,81
83,Portable Massage Gun,Sports,72
84,Zucchini,Clothing,51
85,Italian Herb Balsamic Marinade,Electronics,92
86,Summer Tank Dress,Home,43
87,Tofu,Sports,33
88,Cable Knit Cardigan,Sports,53
89,Chocolate Chip Muffins,Sports,32
90,Beard Grooming Kit,Electronics,57
91,Vanilla Pudding Mix,Clothing,36
92,Cilantro Lime Rice,Clothing,96
93,Pineapple Coconut Yogurt,Clothing,76
94,Wall-Mounted Organizer,Sports,20
95,Sunflower Seeds,Electronics,66
96,Plant-Based Cookbook,Electronics,37
97,Portable Dog Water Bottle,Clothing,81
98,Fruit and Nut Medley,Home,15
99,Eco-Friendly Disposable Plates,Sports,32
100,Gaming Headset,Home,72
